PR.BCTDC:CYCLE_INTENSITY,nxcals_timestamp,nxcals_variable_name,nxcals_timestamp2
78,1668766399900000000,PR.BCTDC:CYCLE_INTENSITY,1668766402300000000
79,1668766453900000000,PR.BCTDC:CYCLE_INTENSITY,1668766456300000000
80,1668766507900000000,PR.BCTDC:CYCLE_INTENSITY,1668766510300000000
81,1668766561900000000,PR.BCTDC:CYCLE_INTENSITY,1668766564300000000
82,1668766615900000000,PR.BCTDC:CYCLE_INTENSITY,1668766618300000000
83,1668766669900000000,PR.BCTDC:CYCLE_INTENSITY,1668766672300000000
84,1668766723900000000,PR.BCTDC:CYCLE_INTENSITY,1668766726300000000
85,1668766777900000000,PR.BCTDC:CYCLE_INTENSITY,1668766780300000000
86,1668766885900000000,PR.BCTDC:CYCLE_INTENSITY,1668766888300000000
87,1668766939900000000,PR.BCTDC:CYCLE_INTENSITY,1668766942300000000
88,1668766993900000000,PR.BCTDC:CYCLE_INTENSITY,1668766996300000000
89,1668767209900000000,PR.BCTDC:CYCLE_INTENSITY,1668767212300000000
90,1668767263900000000,PR.BCTDC:CYCLE_INTENSITY,1668767266300000000
91,1668767317900000000,PR.BCTDC:CYCLE_INTENSITY,1668767320300000000
92,1668767371900000000,PR.BCTDC:CYCLE_INTENSITY,1668767374300000000
93,1668767425900000000,PR.BCTDC:CYCLE_INTENSITY,1668767428300000000
94,1668767479900000000,PR.BCTDC:CYCLE_INTENSITY,1668767482300000000
95,1668767533900000000,PR.BCTDC:CYCLE_INTENSITY,1668767536300000000
96,1668767587900000000,PR.BCTDC:CYCLE_INTENSITY,1668767590300000000
97,1668767641900000000,PR.BCTDC:CYCLE_INTENSITY,1668767644300000000
98,1668767695900000000,PR.BCTDC:CYCLE_INTENSITY,1668767698300000000
99,1668767749900000000,PR.BCTDC:CYCLE_INTENSITY,1668767752300000000
100,1668767803900000000,PR.BCTDC:CYCLE_INTENSITY,1668767806300000000
101,1668767857900000000,PR.BCTDC:CYCLE_INTENSITY,1668767860300000000
102,1668767911900000000,PR.BCTDC:CYCLE_INTENSITY,1668767914300000000
103,1668767965900000000,PR.BCTDC:CYCLE_INTENSITY,1668767968300000000
104,1668768019900000000,PR.BCTDC:CYCLE_INTENSITY,1668768022300000000
105,1668768073900000000,PR.BCTDC:CYCLE_INTENSITY,1668768076300000000
106,1668768127900000000,PR.BCTDC:CYCLE_INTENSITY,1668768130300000000
107,1668768181900000000,PR.BCTDC:CYCLE_INTENSITY,1668768184300000000
108,1668768235900000000,PR.BCTDC:CYCLE_INTENSITY,1668768238300000000
109,1668768289900000000,PR.BCTDC:CYCLE_INTENSITY,1668768292300000000
110,1668768343900000000,PR.BCTDC:CYCLE_INTENSITY,1668768346300000000
111,1668769045900000000,PR.BCTDC:CYCLE_INTENSITY,1668769048300000000
112,1668769099900000000,PR.BCTDC:CYCLE_INTENSITY,1668769102300000000
113,1668769153900000000,PR.BCTDC:CYCLE_INTENSITY,1668769156300000000
114,1668769207900000000,PR.BCTDC:CYCLE_INTENSITY,1668769210300000000
115,1668769261900000000,PR.BCTDC:CYCLE_INTENSITY,1668769264300000000
116,1668769315900000000,PR.BCTDC:CYCLE_INTENSITY,1668769318300000000
117,1668769369900000000,PR.BCTDC:CYCLE_INTENSITY,1668769372300000000
118,1668769423900000000,PR.BCTDC:CYCLE_INTENSITY,1668769426300000000
119,1668769477900000000,PR.BCTDC:CYCLE_INTENSITY,1668769480300000000
120,1668769531900000000,PR.BCTDC:CYCLE_INTENSITY,1668769534300000000
121,1668769585900000000,PR.BCTDC:CYCLE_INTENSITY,1668769588300000000
122,1668769639900000000,PR.BCTDC:CYCLE_INTENSITY,1668769642300000000
123,1668769693900000000,PR.BCTDC:CYCLE_INTENSITY,1668769696300000000
124,1668769747900000000,PR.BCTDC:CYCLE_INTENSITY,1668769750300000000
125,1668769801900000000,PR.BCTDC:CYCLE_INTENSITY,1668769804300000000
126,1668769855900000000,PR.BCTDC:CYCLE_INTENSITY,1668769858300000000
127,1668769909900000000,PR.BCTDC:CYCLE_INTENSITY,1668769912300000000
128,1668769963900000000,PR.BCTDC:CYCLE_INTENSITY,1668769966300000000
129,1668770017900000000,PR.BCTDC:CYCLE_INTENSITY,1668770020300000000
130,1668770071900000000,PR.BCTDC:CYCLE_INTENSITY,1668770074300000000
131,1668770125900000000,PR.BCTDC:CYCLE_INTENSITY,1668770128300000000
132,1668770179900000000,PR.BCTDC:CYCLE_INTENSITY,1668770182300000000
133,1668770233900000000,PR.BCTDC:CYCLE_INTENSITY,1668770236300000000
134,1668770287900000000,PR.BCTDC:CYCLE_INTENSITY,1668770290300000000
135,1668770341900000000,PR.BCTDC:CYCLE_INTENSITY,1668770344300000000
136,1668770395900000000,PR.BCTDC:CYCLE_INTENSITY,1668770398300000000
137,1668770449900000000,PR.BCTDC:CYCLE_INTENSITY,1668770452300000000
138,1668770503900000000,PR.BCTDC:CYCLE_INTENSITY,1668770506300000000
139,1668770557900000000,PR.BCTDC:CYCLE_INTENSITY,1668770560300000000
140,1668770611900000000,PR.BCTDC:CYCLE_INTENSITY,1668770614300000000
141,1668770665900000000,PR.BCTDC:CYCLE_INTENSITY,1668770668300000000
142,1668770719900000000,PR.BCTDC:CYCLE_INTENSITY,1668770722300000000
143,1668770773900000000,PR.BCTDC:CYCLE_INTENSITY,1668770776300000000
144,1668770827900000000,PR.BCTDC:CYCLE_INTENSITY,1668770830300000000
145,1668770881900000000,PR.BCTDC:CYCLE_INTENSITY,1668770884300000000
146,1668770935900000000,PR.BCTDC:CYCLE_INTENSITY,1668770938300000000
