,0,1
0,-0.040881883,-0.024157478
1,-0.04150131,-0.027254589
2,-0.046456687,-0.030351702
3,-0.04459842,-0.026015745
4,-0.04459842,-0.022918632
5,-0.045217842,-0.021679787
6,-0.04150131,-0.020440942
7,-0.036545925,-0.022918632
8,-0.03716535,-0.01982152
9,-0.03220997,-0.01734383
10,-0.034068238,-0.013007873
11,-0.031590547,-0.016724408
12,-0.030351702,-0.010530182
13,-0.024776898,-0.014246717
14,-0.026635168,-0.014866141
15,-0.035307083,-0.013007873
16,-0.030971127,-0.012388449
17,-0.03468766,-0.015485563
18,-0.032829393,-0.015485563
19,-0.035926506,-0.01734383
20,-0.035307083,-0.02229921
21,-0.036545925,-0.022918632
22,-0.035926506,-0.024157478
23,-0.038404197,-0.021679787
24,-0.034068238,-0.021679787
25,-0.030351702,-0.024157478
26,-0.035926506,-0.023538055
27,-0.030971127,-0.024157478
28,-0.028493434,-0.027254589
29,-0.025396323,-0.027254589
30,-0.027254589,-0.027874013
31,-0.029732281,-0.027254589
32,-0.025396323,-0.026015745
33,-0.028493434,-0.030351702
34,-0.03468766,-0.030971127
35,-0.03220997,-0.029732281
36,-0.03220997,-0.030351702
37,-0.039023615,-0.029112857
38,-0.04150131,-0.030971127
39,-0.042740155,-0.033448815
40,-0.04150131,-0.027254589
41,-0.038404197,-0.030971127
42,-0.038404197,-0.029732281
43,-0.036545925,-0.031590547
44,-0.031590547,-0.030971127
45,-0.027254589,-0.029732281
46,-0.021679787,-0.022918632
47,-0.011149605,-0.0080524925
48,-0.009291338,-0.00247769
49,-0.0055748024,-0.0006194225
50,-0.010530182,-0.0061942246
51,-0.011149605,-0.009291338
52,-0.011149605,-0.011149605
53,-0.01734383,-0.016724408
54,-0.026015745,-0.02229921
55,-0.027254589,-0.021679787
56,-0.032829393,-0.024776898
57,-0.036545925,-0.029732281
58,-0.04212073,-0.034068238
59,-0.045217842,-0.035307083
60,-0.05141207,-0.039023615
61,-0.05698687,-0.03964304
62,-0.061942253,-0.040262464
63,-0.060703404,-0.038404197
64,-0.06256167,-0.039023615
65,-0.06751705,-0.04459842
66,-0.07247244,-0.045217842
67,-0.07680839,-0.048934378
68,-0.07247244,-0.046456687
69,-0.07680839,-0.050173223
70,-0.21370076,-0.16104986
71,-0.24591073,-0.1814908
72,-0.24962726,-0.2013123
73,-0.26759052,-0.20874538
74,-0.27068764,-0.22608921
75,0.747643,0.599601
76,0.9576272,0.9124093
77,0.6751705,0.8393175
78,0.47695535,0.6169448
79,0.8145406,0.69189495
80,94.525826,94.08462
81,101.250496,101.250496
82,106.30161,106.05819
83,114.852,114.33471
84,121.22675,120.51167
85,424.72098,423.49963
86,421.97296,421.3623
87,424.1103,421.05695
88,424.1103,424.72098
89,425.63696,425.33163
90,4616.054,4613.6113
91,4615.4434,4615.4434
92,4617.276,4615.749
93,4618.8022,4617.886
94,4620.024,4620.6343
95,39.84599,39.70906
96,8.211683,7.9905505
97,7.560052,7.268923
98,7.903831,7.5340357
99,8.500955,8.052493
100,5.7674427,5.2570386
101,3.1008291,2.4950337
102,2.3810601,1.6891651
103,2.2862885,1.5101521
