PR.BCTDC:CYCLE_INTENSITY,nxcals_timestamp,nxcals_variable_name,nxcals_timestamp2
0,1668769207900000000,PR.BCTDC:CYCLE_INTENSITY,1668769210300000000
1,1668769261900000000,PR.BCTDC:CYCLE_INTENSITY,1668769264300000000
2,1668769315900000000,PR.BCTDC:CYCLE_INTENSITY,1668769318300000000
3,1668769369900000000,PR.BCTDC:CYCLE_INTENSITY,1668769372300000000
4,1668769423900000000,PR.BCTDC:CYCLE_INTENSITY,1668769426300000000
5,1668769477900000000,PR.BCTDC:CYCLE_INTENSITY,1668769480300000000
6,1668769531900000000,PR.BCTDC:CYCLE_INTENSITY,1668769534300000000
7,1668769585900000000,PR.BCTDC:CYCLE_INTENSITY,1668769588300000000
8,1668769639900000000,PR.BCTDC:CYCLE_INTENSITY,1668769642300000000
9,1668769693900000000,PR.BCTDC:CYCLE_INTENSITY,1668769696300000000
10,1668769747900000000,PR.BCTDC:CYCLE_INTENSITY,1668769750300000000
11,1668769801900000000,PR.BCTDC:CYCLE_INTENSITY,1668769804300000000
12,1668769855900000000,PR.BCTDC:CYCLE_INTENSITY,1668769858300000000
13,1668769909900000000,PR.BCTDC:CYCLE_INTENSITY,1668769912300000000
14,1668769963900000000,PR.BCTDC:CYCLE_INTENSITY,1668769966300000000
15,1668770017900000000,PR.BCTDC:CYCLE_INTENSITY,1668770020300000000
16,1668770071900000000,PR.BCTDC:CYCLE_INTENSITY,1668770074300000000
17,1668770125900000000,PR.BCTDC:CYCLE_INTENSITY,1668770128300000000
18,1668770179900000000,PR.BCTDC:CYCLE_INTENSITY,1668770182300000000
19,1668770233900000000,PR.BCTDC:CYCLE_INTENSITY,1668770236300000000
20,1668770287900000000,PR.BCTDC:CYCLE_INTENSITY,1668770290300000000
21,1668770341900000000,PR.BCTDC:CYCLE_INTENSITY,1668770344300000000
22,1668770395900000000,PR.BCTDC:CYCLE_INTENSITY,1668770398300000000
