PR.BCTDC:CYCLE_INTENSITY,nxcals_timestamp,nxcals_variable_name,nxcals_timestamp2
0,1668769207900000000,PR.BCTDC:CYCLE_INTENSITY,1668769210300000000
1,1668769261900000000,PR.BCTDC:CYCLE_INTENSITY,1668769264300000000
