,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,-0.040881883,-0.024157478,-0.016104985,-0.049553797,-0.008671915,0.049553797,-0.026635168,-0.065658785,-0.0080524925,0.00247769,-0.0037165352,-0.046456687,-0.035307083,-0.05141207,-0.028493434,-0.0043359576,-0.031590547,-0.028493434,0.035926506,-0.016104985,-0.030351702,-0.021679787,-0.049553797
1,-0.04150131,-0.027254589,-0.018582676,-0.05203149,-0.012388449,0.04150131,-0.029732281,-0.06132283,-0.018582676,-0.00247769,-0.00991076,-0.045837265,-0.039023615,-0.05636745,-0.030351702,-0.011149605,-0.038404197,-0.035307083,0.030971127,-0.023538055,-0.029732281,-0.023538055,-0.054509178
2,-0.046456687,-0.030351702,-0.02229921,-0.055748027,-0.016104985,0.035307083,-0.033448815,-0.06751705,-0.01734383,-0.0018582676,-0.012388449,-0.04707611,-0.03964304,-0.05636745,-0.032829393,-0.011149605,-0.043359574,-0.03778477,0.030351702,-0.027254589,-0.029112857,-0.022918632,-0.04707611
3,-0.04459842,-0.026015745,-0.021679787,-0.055748027,-0.014246717,0.039023615,-0.034068238,-0.06380052,-0.016724408,-0.0030971123,-0.017963253,-0.04150131,-0.045217842,-0.05636745,-0.031590547,-0.011149605,-0.04150131,-0.039023615,0.03468766,-0.026635168,-0.026015745,-0.022918632,-0.042740155
4,-0.04459842,-0.022918632,-0.023538055,-0.055748027,-0.014866141,0.042740155,-0.034068238,-0.06256167,-0.020440942,-0.010530182,-0.016724408,-0.036545925,-0.042740155,-0.05636745,-0.03468766,-0.013007873,-0.040881883,-0.035926506,0.034068238,-0.027254589,-0.024776898,-0.02229921,-0.03778477
5,-0.045217842,-0.021679787,-0.020440942,-0.054509178,-0.015485563,0.04459842,-0.034068238,-0.06256167,-0.025396323,-0.00247769,-0.021679787,-0.035307083,-0.043359574,-0.04707611,-0.03468766,-0.011769027,-0.040262464,-0.04150131,0.030971127,-0.025396323,-0.024157478,-0.024776898,-0.03964304
6,-0.04150131,-0.020440942,-0.026015745,-0.058225714,-0.011769027,0.050173223,-0.039023615,-0.06503936,-0.021679787,-0.0074330703,-0.024776898,-0.038404197,-0.042740155,-0.048934378,-0.030971127,-0.013627294,-0.036545925,-0.04150131,0.030351702,-0.026635168,-0.016104985,-0.022918632,-0.036545925
7,-0.036545925,-0.022918632,-0.027254589,-0.05884514,-0.008671915,0.05636745,-0.038404197,-0.068755895,-0.020440942,-0.008671915,-0.024157478,-0.03468766,-0.03778477,-0.045837265,-0.03220997,-0.016724408,-0.035926506,-0.03716535,0.028493434,-0.027874013,-0.018582676,-0.022918632,-0.03220997
8,-0.03716535,-0.01982152,-0.033448815,-0.052650914,-0.015485563,0.05698687,-0.03468766,-0.06689763,-0.021679787,-0.0055748024,-0.024776898,-0.03716535,-0.038404197,-0.048934378,-0.03220997,-0.015485563,-0.028493434,-0.035926506,0.028493434,-0.026015745,-0.013007873,-0.01734383,-0.026635168
9,-0.03220997,-0.01734383,-0.029732281,-0.05388976,-0.013007873,0.061942253,-0.030971127,-0.068136476,-0.014866141,-0.011769027,-0.029112857,-0.035307083,-0.035307083,-0.043359574,-0.030971127,-0.00991076,-0.029112857,-0.034068238,0.029112857,-0.024776898,-0.015485563,-0.022918632,-0.026015745
10,-0.034068238,-0.013007873,-0.03468766,-0.05141207,-0.010530182,0.066278204,-0.031590547,-0.07061417,-0.016724408,-0.013007873,-0.029732281,-0.035926506,-0.036545925,-0.038404197,-0.026015745,-0.011769027,-0.021060364,-0.036545925,0.024776898,-0.029112857,-0.011769027,-0.021060364,-0.021679787
11,-0.031590547,-0.016724408,-0.032829393,-0.05203149,-0.0074330703,0.06503936,-0.027254589,-0.066278204,-0.018582676,-0.011149605,-0.03220997,-0.034068238,-0.033448815,-0.035926506,-0.026635168,-0.014246717,-0.020440942,-0.03220997,0.024776898,-0.027254589,-0.011769027,-0.022918632,-0.017963253
12,-0.030351702,-0.010530182,-0.028493434,-0.046456687,-0.0074330703,0.06937532,-0.027874013,-0.06751705,-0.016724408,-0.010530182,-0.029112857,-0.03468766,-0.035926506,-0.035926506,-0.02229921,-0.013007873,-0.016104985,-0.03220997,0.029732281,-0.029732281,-0.011769027,-0.027254589,-0.01734383
13,-0.024776898,-0.014246717,-0.032829393,-0.048314955,-0.00991076,0.06999475,-0.02229921,-0.065658785,-0.014246717,-0.013627294,-0.027874013,-0.036545925,-0.033448815,-0.033448815,-0.025396323,-0.010530182,-0.012388449,-0.027254589,0.030971127,-0.025396323,-0.011149605,-0.023538055,-0.02229921
14,-0.026635168,-0.014866141,-0.033448815,-0.045217842,-0.0037165352,0.068755895,-0.017963253,-0.065658785,-0.013627294,-0.013627294,-0.024157478,-0.03778477,-0.03468766,-0.03468766,-0.023538055,-0.011149605,-0.010530182,-0.026635168,0.033448815,-0.027874013,-0.011769027,-0.024776898,-0.021060364
15,-0.035307083,-0.013007873,-0.033448815,-0.046456687,-0.0030971123,0.07185301,-0.015485563,-0.07061417,-0.014866141,-0.017963253,-0.021679787,-0.036545925,-0.03220997,-0.03220997,-0.022918632,-0.010530182,-0.0055748024,-0.024157478,0.032829393,-0.024776898,-0.013007873,-0.025396323,-0.021060364
16,-0.030971127,-0.012388449,-0.034068238,-0.046456687,-0.0030971123,0.071233585,-0.00991076,-0.07495012,-0.010530182,-0.01734383,-0.024157478,-0.04150131,-0.034068238,-0.029112857,-0.017963253,-0.012388449,-0.0074330703,-0.020440942,0.033448815,-0.024776898,-0.015485563,-0.023538055,-0.01982152
17,-0.03468766,-0.015485563,-0.031590547,-0.043978997,-0.0018582676,0.068755895,-0.00247769,-0.07247244,-0.008671915,-0.019202098,-0.023538055,-0.039023615,-0.036545925,-0.029112857,-0.019202098,-0.009291338,-0.0074330703,-0.019202098,0.03716535,-0.021679787,-0.020440942,-0.023538055,-0.02229921
18,-0.032829393,-0.015485563,-0.029732281,-0.043359574,0.0018582676,0.0743307,-0.0037165352,-0.068136476,-0.010530182,-0.018582676,-0.020440942,-0.038404197,-0.03468766,-0.027254589,-0.018582676,-0.006813647,-0.008671915,-0.011149605,0.042740155,-0.018582676,-0.030351702,-0.026015745,-0.027874013
19,-0.035926506,-0.01734383,-0.027254589,-0.053270336,-0.0074330703,0.046456687,-0.013627294,-0.06503936,-0.022918632,-0.034068238,-0.027874013,-0.035307083,-0.036545925,-0.033448815,-0.034068238,-0.021060364,-0.023538055,-0.030971127,0.04212073,-0.026015745,-0.024157478,-0.036545925,-0.028493434
20,-0.035307083,-0.02229921,-0.028493434,-0.05884514,-0.00991076,0.038404197,-0.023538055,-0.07309185,-0.030971127,-0.038404197,-0.029112857,-0.03468766,-0.038404197,-0.034068238,-0.040262464,-0.029112857,-0.031590547,-0.035307083,0.03716535,-0.030971127,-0.03468766,-0.039023615,-0.030351702
21,-0.036545925,-0.022918632,-0.029112857,-0.0551286,-0.015485563,0.034068238,-0.026015745,-0.066278204,-0.034068238,-0.03964304,-0.030971127,-0.038404197,-0.043978997,-0.035926506,-0.038404197,-0.029112857,-0.034068238,-0.036545925,0.03964304,-0.030351702,-0.035307083,-0.035307083,-0.033448815
